stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_street,stop_city,stop_region,stop_postcode,stop_country,zone_id
1,"South Deerfield Center (1)",,  42.477036, -72.607452,,,,,,
10,"Silver Lane (10)",,  42.454792, -72.567802,,,,,,
100,"Haydenville Center OB (100)",,  42.374321, -72.701836,,,,,,
1000,"Plainfield / Wason (1000)",,  42.123714, -72.617439,,,,,,
10006,"Mass Mutual (10006)",,  42.018105, -72.584846,,,,,,
1001,"Bay / Aster (1001)",,  42.123970, -72.559937,,,,,,
1002,"Springfield / Derby Dingle (1002)",,  42.123703, -72.603920,,,,,,
1003,"Carew / Van Horn (1003)",,  42.123634, -72.586594,,,,,,
1004,"Main / Faculty (1004)",,  42.124981, -72.431145,,,,,,
1005,"Liberty / Cleveland (1005)",,  42.123615, -72.584259,,,,,,
1006,"Springfield / Derby Dingle (1006)",,  42.123825, -72.603607,,,,,,
1007,"3300 Main Street (1007)",,  42.123165, -72.609741,,,,,,
1008,"Carew/Van Horn(opposite) (1008)",,  42.123489, -72.586601,,,,,,
1009,"Bay / Aster (1009)",,  42.123642, -72.560097,,,,,,
101,"Haydenville IB (101)",,  42.374207, -72.701851,,,,,,
1011,"Springfield / Atwater (1011)",,  42.122726, -72.604607,,,,,,
1012,"State / Tilton (1012)",,  42.123245, -72.542137,,,,,,
1013,"Liberty / Cleveland (1013)",,  42.122932, -72.584343,,,,,,
1014,"Main/Noble (1014)",,  42.123070, -72.609528,,,,,,
1015,"State / Tilton (1015)",,  42.123272, -72.541771,,,,,,
1017,"Plainfield / Demond (1017)",,  42.122379, -72.616730,,,,,,
1018,"Elm / Lower Grandview (1018)",,  42.121983, -72.627419,,,,,,
102,"Amherst Glass (Out) (102)",,  42.376186, -72.501266,,,,,,
1020,"Parker / Sunrise (1020)",,  42.123226, -72.497467,,,,,,
1021,"Springfield / Atwater (1021)",,  42.122242, -72.604736,,,,,,
1022,"Carew/Armory (1022)",,  42.122349, -72.588051,,,,,,
1023,"Carew / Armory (1023)",,  42.122192, -72.588448,,,,,,
1024,"Plainfield / Laurel (1024)",,  42.121960, -72.616608,,,,,,
1026,"Main / Mechanic (1026)",,  42.120464, -72.745438,,,,,,
1027,"Court / Washington (1027)",,  42.120308, -72.752785,,,,,,
1028,"State / Ivanhoe (1028)",,  42.122269, -72.543739,,,,,,
1029,"State / Ivanhoe (1029)",,  42.122356, -72.543365,,,,,,
103,"Jones Library (Out) (103)",,  42.375854, -72.521240,,,,,,
1030,"Parker / Sunrise (1030)",,  42.122608, -72.497505,,,,,,
1031,"Liberty / Phoenix (1031)",,  42.121742, -72.584175,,,,,,
1032,"Elm / Dingle (1032)",,  42.121429, -72.627335,,,,,,
1033,"Court / Bates (1033)",,  42.119778, -72.756706,,,,,,
1035,"Bay / Edgewood (1035)",,  42.121758, -72.561790,,,,,,
1036,"Bay / Bertil Hammarlof (1036)",,  42.122402, -72.560982,,,,,,
1037,"Independence House (1037)",,  42.121693, -72.549339,,,,,,
1038,"Parker / Brewster (1038)",,  42.122185, -72.497772,,,,,,
1039,"Plainfield / Talcott (1039)",,  42.121078, -72.616005,,,,,,
104,"Gray Street (In) (104)",,  42.375919, -72.511971,,,,,,
1040,"State / Edgemont (1040)",,  42.121658, -72.544487,,,,,,
1041,"Main / Us Hwy 20 (1041)",,  42.119667, -72.743279,,,,,,
1042,"Carew/Nye (1042)",,  42.121227, -72.590012,,,,,,
1043,"Carew/Parkside (1043)",,  42.121113, -72.590530,,,,,,
1044,"Court / Chestnut (1044)",,  42.119339, -72.759171,,,,,,
1046,"Court / Mill (1046)",,  42.119209, -72.759285,,,,,,
1047,"Springfield / Main (1047)",,  42.122303, -72.431801,,,,,,
1049,"Elm / Lower Grandview (1049)",,  42.120354, -72.627495,,,,,,
105,"Churchill Street (105)",,  42.375877, -72.516556,,,,,,
1050,"Springfield / Main (1050)",,  42.122223, -72.431961,,,,,,
1051,"Chestnut / Bay State Medical Center Driv (1051)",,  42.120537, -72.605240,,,,,,
1052,"Plainfield / Abbe (1052)",,  42.120346, -72.615738,,,,,,
1053,"Bay State Medical Center Drive / Chestnu (1053)",,  42.120335, -72.604980,,,,,,
1054,"State / Hillmont (1054)",,  42.121159, -72.544838,,,,,,
1055,"Main / Springfield (1055)",,  42.122059, -72.431396,,,,,,
1056,"Main / Meadow (1056)",,  42.119106, -72.740166,,,,,,
1058,"Parker / Mallowhill (1058)",,  42.121307, -72.497894,,,,,,
106,"Gray Street (Out) (106)",,  42.375820, -72.511925,,,,,,
1061,"Kindred Hospital (1061)",,  42.120678, -72.545479,,,,,,
1062,"Plainfield / Abbe (1062)",,  42.120335, -72.615608,,,,,,
1063,"Carew / Melha (1063)",,  42.120235, -72.592484,,,,,,
1064,"Carew / Melha (1064)",,  42.120110, -72.592468,,,,,,
1065,"Bay / Oak Grove (1065)",,  42.120064, -72.563423,,,,,,
1066,"Main/Cumberland (1066)",,  42.119900, -72.608200,,,,,,
1067,"Elm / Lower Grandview (1067)",,  42.120033, -72.627380,,,,,,
1068,"Main/Cumberland(opposite) (1068)",,  42.119621, -72.608238,,,,,,
1069,"Main / Noble (1069)",,  42.118225, -72.736946,,,,,,
107,"Lincoln Avenue (Out) (107)",,  42.375687, -72.523842,,,,,,
1070,"Bay / Oak Grove (1070)",,  42.120285, -72.563103,,,,,,
1072,"Springfield / Springfield (1072)",,  42.120899, -72.453125,,,,,,
1073,"Springfield / Stony Hill (1073)",,  42.120770, -72.453873,,,,,,
1075,"State / Clarence (1075)",,  42.119957, -72.545883,,,,,,
1076,"Springfield / Chapin (1076)",,  42.120651, -72.456215,,,,,,
1077,"Chestnut / Waverly (1077)",,  42.119293, -72.604576,,,,,,
1078,"Parker / Burns (1078)",,  42.120255, -72.498375,,,,,,
1079,"State / Blunt Park (1079)",,  42.119663, -72.546326,,,,,,
108,"Amherst Crossing (In) (108)",,  42.375767, -72.507088,,,,,,
1080,"Elm / Larone (1080)",,  42.118683, -72.627663,,,,,,
1081,"Chestnut / Pratt (1081)",,  42.118965, -72.604050,,,,,,
1083,"Plainfield / Clayton (1083)",,  42.118759, -72.614876,,,,,,
1084,"Blunt Park / State (1084)",,  42.119415, -72.548218,,,,,,
1086,"Stony Hill / Springfield (1086)",,  42.120125, -72.454437,,,,,,
